dataset,identity_id,usable_row_count,usable_days,support_day_count,future_query_day_count,gallery_row_count,query_row_count,cohort_status,eligibility_reason
holstein,0237,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0243,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0256,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0266,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0267,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0280,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,0284,12,1|2|3|4|5|6|7|8|9,5,3,6,5,strict,continuous-day1-6-and-future-query
holstein,0287,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0288,14,1|2|3|4|5|6|7|8|9,5,3,10,3,strict,continuous-day1-6-and-future-query
holstein,0289,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0292,11,1|2|3|4|5|6|7|8,5,2,7,3,strict,continuous-day1-6-and-future-query
holstein,0295,10,1|2|4|5|6|7|8|9,4,3,6,3,availability-only,strict-window-incomplete
holstein,0296,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0297,8,1|2|3|4|5|6|8|9,5,2,5,2,strict,continuous-day1-6-and-future-query
holstein,0298,8,1|3|4|5|6|7|8|9,4,3,4,3,availability-only,strict-window-incomplete
holstein,0300,10,1|3|4|5|6|7|8|9,4,3,4,5,availability-only,strict-window-incomplete
holstein,0312,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0316,10,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0341,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0353,11,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0362,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0364,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0367,11,1|2|3|4|5|6|7|8|9,5,3,5,5,strict,continuous-day1-6-and-future-query
holstein,0376,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0384,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,0395,11,1|2|3|4|5|6|7|8|9,5,3,7,3,strict,continuous-day1-6-and-future-query
holstein,0408,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0410,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0419,14,1|2|3|4|5|6|7|8|9,5,3,5,7,strict,continuous-day1-6-and-future-query
holstein,0423,11,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,0431,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0434,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0438,11,1|2|3|4|5|6|7|8|9,5,3,7,3,strict,continuous-day1-6-and-future-query
holstein,0440,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,0441,13,1|2|3|4|5|6|7|8|9,5,3,9,3,strict,continuous-day1-6-and-future-query
holstein,0443,8,1|2|3|4|5|6|8|9,5,2,5,2,strict,continuous-day1-6-and-future-query
holstein,0444,11,1|2|3|4|5|6|7|8|9,5,3,7,3,strict,continuous-day1-6-and-future-query
holstein,0457,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0464,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0467,8,1|2|3|4|5|6|8|9,5,2,5,2,strict,continuous-day1-6-and-future-query
holstein,0469,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,0470,11,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0473,10,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0479,11,1|2|3|4|5|6|7|8|9,5,3,6,4,strict,continuous-day1-6-and-future-query
holstein,0487,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0488,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0491,13,1|2|3|4|5|6|7|8|9,5,3,5,6,strict,continuous-day1-6-and-future-query
holstein,0492,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0493,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,0495,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0496,9,1|3|4|5|6|7|8|9,4,3,5,3,availability-only,strict-window-incomplete
holstein,0497,9,1|2|3|4|5|6|8|9,5,2,5,3,strict,continuous-day1-6-and-future-query
holstein,0498,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0500,11,1|2|3|4|5|6|7|8|9,5,3,6,4,strict,continuous-day1-6-and-future-query
holstein,0501,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0502,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0503,9,1|3|4|5|7|8|9,4,3,6,3,availability-only,strict-window-incomplete
holstein,0506,11,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0513,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0517,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,0528,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,0534,13,1|2|3|4|5|6|7|8|9,5,3,6,6,strict,continuous-day1-6-and-future-query
holstein,0539,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0541,7,3|4|5|6|7|8|9,3,3,3,3,availability-only,strict-window-incomplete
holstein,0543,14,1|2|3|4|5|6|7|8|9,5,3,5,6,strict,continuous-day1-6-and-future-query
holstein,0546,11,1|2|3|4|5|6|7|8|9,5,3,5,5,strict,continuous-day1-6-and-future-query
holstein,0550,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0553,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0555,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0556,11,1|2|3|4|5|6|7|8|9,5,3,5,5,strict,continuous-day1-6-and-future-query
holstein,0561,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0563,6,3|4|6|7|8|9,2,3,2,3,availability-only,strict-window-incomplete
holstein,0568,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0571,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0579,7,3|4|5|6|7|8|9,3,3,3,3,availability-only,strict-window-incomplete
holstein,0580,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0583,18,1|2|3|4|5|6|7|8|9,5,3,10,5,strict,continuous-day1-6-and-future-query
holstein,0584,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0589,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0592,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0593,10,2|3|4|5|6|7|8|9,4,3,6,3,availability-only,strict-window-incomplete
holstein,0594,9,2|3|4|5|6|7|8|9,4,3,5,3,availability-only,strict-window-incomplete
holstein,0596,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0601,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0605,12,1|2|3|4|5|6|7|8|9,5,3,5,5,strict,continuous-day1-6-and-future-query
holstein,0611,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0616,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0619,8,1|2|3|4|5|6|7|9,5,2,5,2,strict,continuous-day1-6-and-future-query
holstein,0624,9,1|2|3|4|5|7|8|9,5,3,5,4,availability-only,strict-window-incomplete
holstein,0628,11,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,0629,7,1|2|3|4|5|6|8,5,1,5,1,strict,continuous-day1-6-and-future-query
holstein,0641,13,1|2|3|4|5|6|7|8|9,5,3,6,4,strict,continuous-day1-6-and-future-query
holstein,0642,10,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0643,14,1|2|3|4|5|6|7|8|9,5,3,8,5,strict,continuous-day1-6-and-future-query
holstein,0644,8,1|2|3|4|5|6|8|9,5,2,5,2,strict,continuous-day1-6-and-future-query
holstein,0647,8,1|2|3|4|5|6|8|9,5,2,5,2,strict,continuous-day1-6-and-future-query
holstein,0648,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,0650,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0651,6,3|5|6|7|8|9,2,3,2,3,availability-only,strict-window-incomplete
holstein,0653,10,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0655,7,3|4|5|6|7|8|9,3,3,3,3,availability-only,strict-window-incomplete
holstein,0660,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0661,7,3|4|5|6|7|8|9,3,3,3,3,availability-only,strict-window-incomplete
holstein,0662,6,3|5|6|7|8|9,2,3,2,3,availability-only,strict-window-incomplete
holstein,0663,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0664,6,3|4|6|7|8|9,2,3,2,3,availability-only,strict-window-incomplete
holstein,0665,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0667,11,3|4|5|6|7|8|9,3,3,4,3,availability-only,strict-window-incomplete
holstein,0671,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0673,11,1|2|3|4|5|6|7|8|9,5,3,6,4,strict,continuous-day1-6-and-future-query
holstein,0675,5,3|5|6|8|9,2,2,2,2,availability-only,strict-window-incomplete
holstein,0678,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0679,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0684,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0686,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0692,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0701,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0706,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,0712,8,1|3|4|5|6|7|8|9,4,3,4,3,availability-only,strict-window-incomplete
holstein,0720,7,3|4|5|6|7|8|9,3,3,3,3,availability-only,strict-window-incomplete
holstein,0728,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0730,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,0731,6,4|5|6|7|8|9,2,3,2,3,availability-only,strict-window-incomplete
holstein,0733,9,1|3|4|5|6|7|8|9,4,3,4,4,availability-only,strict-window-incomplete
holstein,0737,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0738,7,3|4|5|6|7|8|9,3,3,3,3,availability-only,strict-window-incomplete
holstein,0746,8,3|4|5|6|7|8,3,2,3,2,availability-only,strict-window-incomplete
holstein,0748,7,3|4|5|6|7|8|9,3,3,3,3,availability-only,strict-window-incomplete
holstein,0749,7,3|4|5|6|7|8|9,3,3,3,3,availability-only,strict-window-incomplete
holstein,0752,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0754,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0769,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,0772,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0779,8,1|2|3|4|5|6|8|9,5,2,5,2,strict,continuous-day1-6-and-future-query
holstein,0783,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0809,7,3|4|5|6|7|8|9,3,3,3,3,availability-only,strict-window-incomplete
holstein,0813,11,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0820,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0821,8,1|2|3|4|5|6|8|9,5,2,5,2,strict,continuous-day1-6-and-future-query
holstein,0824,8,1|2|3|4|5|6|8|9,5,2,5,2,strict,continuous-day1-6-and-future-query
holstein,0826,7,1|3|4|5|6|8|9,4,2,4,2,availability-only,strict-window-incomplete
holstein,0830,8,1|2|3|4|5|6|8|9,5,2,5,2,strict,continuous-day1-6-and-future-query
holstein,0838,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0849,7,3|4|5|6|7|8|9,3,3,3,3,availability-only,strict-window-incomplete
holstein,0863,8,1|2|3|4|5|6|8|9,5,2,5,2,strict,continuous-day1-6-and-future-query
holstein,0892,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,0922,8,1|2|3|4|5|6|8|9,5,2,5,2,strict,continuous-day1-6-and-future-query
holstein,0940,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,0975,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,0983,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,1021,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,1038,12,1|2|3|4|5|6|7|8|9,5,3,6,5,strict,continuous-day1-6-and-future-query
holstein,1064,9,1|2|3|4|5|6|8|9,5,2,5,2,strict,continuous-day1-6-and-future-query
holstein,1120,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,1127,11,1|2|3|4|5|6|7|8|9,5,3,6,4,strict,continuous-day1-6-and-future-query
holstein,1139,11,1|2|3|4|5|6|7|8|9,5,3,5,5,strict,continuous-day1-6-and-future-query
holstein,1146,11,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,1154,9,1|2|3|4|5|6|7|8,5,2,5,3,strict,continuous-day1-6-and-future-query
holstein,1165,10,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,1176,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,1224,10,1|2|3|4|5|6|8|9,5,2,7,2,strict,continuous-day1-6-and-future-query
holstein,1232,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,1239,8,1|2|3|4|5|6|7|9,5,2,5,2,strict,continuous-day1-6-and-future-query
holstein,1261,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,1263,8,2|3|4|6|7|8|9,3,3,3,4,availability-only,strict-window-incomplete
holstein,1267,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,1269,11,1|2|3|4|5|6|7|8|9,5,3,7,3,strict,continuous-day1-6-and-future-query
holstein,2048,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,2411,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,2412,8,3|4|5|6|7|8|9,3,3,3,4,availability-only,strict-window-incomplete
holstein,3997,11,1|2|3|4|5|6|7|8|9,5,3,6,4,strict,continuous-day1-6-and-future-query
holstein,4191,11,1|2|3|4|5|6|7|8|9,5,3,7,3,strict,continuous-day1-6-and-future-query
holstein,5431,11,1|2|3|4|5|6|7|8|9,5,3,5,5,strict,continuous-day1-6-and-future-query
holstein,6034,13,1|2|3|4|5|6|7|8|9,5,3,8,3,strict,continuous-day1-6-and-future-query
holstein,6258,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,6279,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,6311,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,6518,16,1|2|3|4|5|6|7|8|9,5,3,7,6,strict,continuous-day1-6-and-future-query
holstein,6582,11,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,6700,9,1|2|4|5|6|7|8|9,4,3,4,4,availability-only,strict-window-incomplete
holstein,6732,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,6740,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,6746,13,1|2|3|4|5|6|7|8|9,5,3,8,4,strict,continuous-day1-6-and-future-query
holstein,6763,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,6769,10,1|2|3|4|5|6|8|9,5,2,5,3,strict,continuous-day1-6-and-future-query
holstein,6806,13,1|2|3|4|5|6|7|8|9,5,3,6,5,strict,continuous-day1-6-and-future-query
holstein,6807,10,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,6830,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,6847,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,6848,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,6851,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,6878,11,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,6940,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,6964,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,6985,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,7004,8,1|2|3|4|5|6|7,5,1,6,1,strict,continuous-day1-6-and-future-query
holstein,7017,11,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,7021,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,7037,10,3|4|5|6|7|8|9,3,3,4,5,availability-only,strict-window-incomplete
holstein,7071,8,1|2|3|4|5|6|8|9,5,2,5,2,strict,continuous-day1-6-and-future-query
holstein,7078,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,7085,8,2|3|4|5|6|7|8|9,4,3,4,3,availability-only,strict-window-incomplete
holstein,7107,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,7112,18,1|2|3|4|5|6|7|8|9,5,3,7,8,strict,continuous-day1-6-and-future-query
holstein,7126,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,7135,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,7141,6,3|4|5|6|8|9,3,2,3,2,availability-only,strict-window-incomplete
holstein,7161,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,7162,9,1|2|4|5|6|7|8|9,4,3,4,3,availability-only,strict-window-incomplete
holstein,7180,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,7184,8,1|2|4|5|6|7|8|9,4,3,4,3,availability-only,strict-window-incomplete
holstein,7219,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,7228,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,7232,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,7239,8,1|2|3|4|5|6|8|9,5,2,5,2,strict,continuous-day1-6-and-future-query
holstein,7248,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,7348,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,7359,10,1|2|3|4|5|6|7|8|9,5,3,6,3,strict,continuous-day1-6-and-future-query
holstein,7369,8,1|2|3|4|5|6|7|9,5,2,5,2,strict,continuous-day1-6-and-future-query
holstein,7378,7,3|4|5|6|7|9,3,2,3,2,availability-only,strict-window-incomplete
holstein,7387,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,7460,8,2|3|4|5|6|7|8|9,4,3,4,3,availability-only,strict-window-incomplete
holstein,7462,17,1|2|3|4|5|6|7|8|9,5,3,8,5,strict,continuous-day1-6-and-future-query
holstein,7475,14,1|2|3|4|5|6|7|8|9,5,3,8,5,strict,continuous-day1-6-and-future-query
holstein,7476,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,7485,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,7496,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,7505,11,1|2|3|4|5|6|7|8|9,5,3,5,5,strict,continuous-day1-6-and-future-query
holstein,7506,8,1|2|3|5|6|7|8|9,4,3,4,3,availability-only,strict-window-incomplete
holstein,7516,10,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
holstein,7521,9,1|2|3|4|5|6|8|9,5,2,5,3,strict,continuous-day1-6-and-future-query
holstein,7549,9,1|2|3|4|5|6|7|8|9,5,3,5,3,strict,continuous-day1-6-and-future-query
holstein,7588,11,1|2|3|4|5|6|7|8|9,5,3,5,4,strict,continuous-day1-6-and-future-query
